Date,Close,Volume,Day of week,Month,Price-Delta%-1,Price-Delta%-3,Price-Delta%-7,Price-Delta%-30,Volume-Delta-1,Volume-Delta-3,Volume-Delta-7,RSI-14,RSI-Delta-1,RSI-Delta-3,RSI-Delta-7,SMA-15,SMA-50,SMA-Diff,SMA-Diff-Delta-1,SMA-Diff-Delta-3,SMA-Diff-Delta-7,SMA-10,EMA-10,EMA-Diff,EMA-Diff-Delta-1,EMA-Diff-Delta-3,EMA-Diff-Delta-7,MACD,MACD-signal,MACD-Diff,MACD-Diff-Delta-1,MACD-Diff-Delta-3,MACD-Diff-Delta-7,Stochastic-K,Stochastic-D,Stochastic-Diff,Stochastic-K-Delta-1,Stochastic-K-Delta-3,Stochastic-K-Delta-7,Stochastic-D-Delta-1,Stochastic-D-Delta-3,Stochastic-D-Delta-7,Stochastic-Diff-Delta-1,Stochastic-Diff-Delta-3,Stochastic-Diff-Delta-7,Aroon-Positive,Aroon-Negative,ADX,ADX-Delta-1,ADX-Delta-3,ADX-Delta-7,CCI-20,CCI-20-Delta-1,CCI-20-Delta-3,CCI-20-Delta-7,MOM,MOM-Delta-1,MOM-Delta-3,MOM-Delta-7
2015-01-29,268.0,19400,THURSDAY,JANUARY,0.0,1.90114068441,-3.59712230216,3.87596899225,-58.0993520518,-64.7912885662,-51.8610421836,56.6995288472,0.0,4.62637487211,-15.0362977948,267.466666667,255.03,12.4366666667,0.2,1.17666666667,2.10666666667,268.8,270.132215743,-1.33221574336,-0.0823067196137,-0.984236621018,-4.03216231587,9.59259797771,6.40691242678,3.18568555093,-1.4450294471,-2.43779790393,1.0704310947,40.9836065574,38.2813084812,2.7022980762,0.0,1.50992234685,-54.2544886807,0.50330744895,0.123413744332,-54.3842634947,-0.50330744895,1.38650860252,0.129774814025,78.5714285714,57.1428571429,28.8203230652,-0.879557214348,-3.11612886793,-4.65234587095,33.0708661417,7.6243080581,48.2223812932,-141.129440038,-2.5,-5.0,-4.0,-26.0
2015-01-30,273.0,28600,FRIDAY,JANUARY,1.86567164179,4.39770554493,-1.08695652174,6.22568093385,47.4226804124,-63.3802816901,-73.2959850607,61.0695410898,4.37001224263,10.6024992416,-7.44489057383,268.4,255.64,12.76,0.323333333333,1.42333333333,1.65,268.65,269.53241054,-0.882410539937,0.449805203422,-0.0162800650508,-3.04235780982,9.41058753481,7.25921016502,2.15137736978,-1.03430818115,-3.13391805422,-1.16374974815,57.3770491803,46.4480874317,10.9289617486,16.393442623,24.5003368516,-16.307161346,8.16677895052,10.9277798133,-40.3191179381,8.22666367243,13.5725570382,24.0119565921,71.4285714286,50.0,28.6032893281,-0.217033737146,-2.111268809,-7.13893898737,74.9083757933,41.8375096516,74.1156686986,-84.4902275984,-1.5,1.0,4.5,-29.0
2015-02-02,276.0,30300,MONDAY,FEBRUARY,1.0989010989,2.98507462687,4.74383301708,8.66141732283,5.94405594406,-34.5572354212,-88.3281972265,63.4528455927,2.38330450296,6.75331674559,10.8406725082,269.366666667,256.37,12.9966666667,0.236666666667,0.76,1.70333333333,268.8,269.035131318,-0.235131317814,0.647279222123,1.01477770593,-1.6160507162,9.09522560517,8.07047901174,1.02474659343,-1.12663077636,-3.6059684046,-2.87817490628,67.2131147541,55.1912568306,12.0218579235,9.83606557377,26.2295081967,26.4236410699,8.74316939891,17.4132557984,-14.7126696523,1.09289617486,8.81625239834,41.1363107222,64.2857142857,42.8571428571,28.6768045098,0.0735151817553,-1.02307576974,-6.13682110202,90.5936073059,15.6852315126,65.1470492223,35.872577263,1.5,3.0,-1.0,-4.5
2015-02-03,278.5,25400,TUESDAY,FEBRUARY,0.905797101449,3.91791044776,6.70498084291,10.0790513834,-16.1716171617,30.9278350515,-62.865497076,65.3561971266,1.90335153387,8.65666827946,15.2489339637,270.1,257.2,12.9,-0.0966666666666,0.463333333333,1.86666666667,268.85,268.010424054,0.839575946071,1.07470726388,2.17179168943,0.39278184699,7.95512849183,8.62742592701,-0.67229743518,-1.69704402861,-3.85798298611,-6.12183788744,75.4098360656,66.6666666667,8.74316939891,8.19672131148,34.4262295082,41.1993097498,11.4754098361,28.3853581855,17.1052631579,-3.27868852459,6.0408713227,24.0940465919,57.1428571429,35.7142857143,29.1575326976,0.480728187788,0.337209632397,-4.62371410845,115.894641235,25.3010339293,82.8237750935,113.76095474,0.5,-1.0,3.0,-1.5
2015-02-04,280.5,42300,WEDNESDAY,FEBRUARY,0.718132854578,2.74725274725,6.65399239544,11.5308151093,66.5354330709,47.9020979021,-23.2304900181,66.8438585206,1.48766139395,5.77431743078,14.7707045455,271.1,258.04,13.06,0.16,0.3,1.8,269.3,267.331018324,1.96898167555,1.12940572948,2.85139221548,2.31696079789,6.9038075483,9.0009194233,-2.097111875,-1.42481443982,-4.24848924478,-7.72059532986,81.9672131148,74.8633879781,7.10382513661,6.55737704918,24.5901639344,42.4935289042,8.19672131148,28.4153005464,36.7054932413,-1.6393442623,-3.82513661202,5.78803566293,50.0,28.5714285714,29.8907196505,0.733186952928,1.28743032247,-2.04573228261,131.642512077,15.7478708421,56.734136284,146.794027229,4.5,4.0,6.0,3.0
2015-02-05,285.0,44700,THURSDAY,FEBRUARY,1.60427807487,3.26086956522,8.98661567878,14.0,5.67375886525,47.5247524752,-42.7656850192,69.968647063,3.12478854248,6.5158014703,19.5016052148,272.066666667,258.97,13.0966666667,0.0366666666666,0.1,1.76,271.45,269.021173497,2.42882650306,0.459844827516,2.66395782088,3.29495697795,5.29113655293,8.92170862963,-3.6305720767,-1.5334602017,-4.65531867012,-8.9158675007,96.7213114754,84.6994535519,12.0218579235,14.7540983607,29.5081967213,63.8445991466,9.83606557377,29.5081967213,49.1791459336,4.91803278689,0.0,14.6654532131,42.8571428571,100.0,30.8430211766,0.952301526034,2.16621666675,0.128463039509,148.78397711,17.1414650329,58.1903698042,147.991270015,21.5,17.0,20.0,27.5
2015-02-06,290.0,29800,FRIDAY,FEBRUARY,1.75438596491,4.12926391382,8.20895522388,12.6213592233,-33.3333333333,17.3228346457,-35.6371490281,73.012108346,3.04346128298,7.65591121941,16.3125794989,273.1,260.01,13.09,-0.0066666666666,0.19,0.853333333333,274.35,271.636288129,2.71371187125,0.284885368182,1.87413592518,3.96362089499,4.03697745506,8.57031289241,-4.53333543735,-0.902763360654,-3.86103800217,-9.16405043538,97.1830985915,91.9572077272,5.22589086431,0.461787116139,21.773262526,56.1994920342,7.25775417533,25.2905410606,54.179206695,-6.79596705919,-3.5172785346,2.02028533916,35.7142857143,100.0,32.1377828471,1.29476167052,2.98025014948,2.43790256753,169.620253165,20.8362760544,53.7256119293,144.173695081,29.0,7.5,28.5,26.5
2015-02-09,285.5,23500,MONDAY,FEBRUARY,-1.55172413793,1.7825311943,6.52985074627,13.0693069307,-21.1409395973,-44.4444444444,21.1340206186,66.4819484506,-6.53015989541,-0.361910069944,9.78241960347,273.833333333,260.84,12.9933333333,-0.0966666666667,-0.0666666666668,0.556666666667,276.6,273.948825644,2.65117435623,-0.0625375150159,0.682192680683,3.98339009959,4.75741140658,8.10508410797,-3.34767270139,1.18566273596,-1.25056082639,-6.53335825232,84.5070422535,92.8038174402,-8.29677518664,-12.676056338,2.53982913877,43.5234356961,0.846609712922,17.940429462,54.522508959,-13.522666051,-15.4006003233,-10.9990732628,28.5714285714,92.8571428571,33.3400615412,1.20227869406,3.44934189061,4.51973847594,138.991389914,-30.6288632507,7.3488778366,105.920523772,22.5,-6.5,18.0,25.0
2015-02-10,294.0,40400,TUESDAY,FEBRUARY,2.97723292469,3.15789473684,7.69230769231,15.7480314961,71.914893617,-9.61968680089,41.2587412587,71.6414127604,5.15946430978,1.67276569736,10.5718716706,274.9,261.77,13.13,0.136666666667,0.0333333333333,0.37,279.85,277.286124118,2.56387588213,-0.0872984740968,0.13504937907,3.44628642207,5.85886653927,7.57082899546,-1.71196245619,1.6357102452,1.9186096205,-3.86333982597,95.0617283951,92.25062308,2.81110531502,10.5546861415,-1.65958308035,37.6846792147,-0.553194360116,7.55116952813,45.8025356484,11.1078805017,-9.21075260848,-8.11785643362,21.4285714286,100.0,34.9390576145,1.59899607334,4.09603643792,6.33576828642,164.790634849,25.7992449353,16.006657739,89.8822590558,32.5,10.0,11.0,34.0
2015-02-11,292.0,27300,WEDNESDAY,FEBRUARY,-0.680272108844,0.689655172414,5.79710144928,15.873015873,-32.4257425743,-8.38926174497,-9.90099009901,68.9519343905,-2.68947836993,-4.06017395555,5.49908879773,275.966666667,262.65,13.3166666667,0.186666666667,0.226666666667,0.32,282.25,279.761537018,2.48846298173,-0.0754129004073,-0.22524888952,2.72359429954,6.90132383718,7.129373182,-0.228049344824,1.48391311137,4.30528609253,-1.25279593825,90.1234567901,89.8974091462,0.226047643888,-4.93827160494,-7.05964180143,22.910342036,-2.35321393381,-2.059798581,34.7061523156,-2.58505767113,-4.99984322042,-11.7958102796,14.2857142857,92.8571428571,36.4238396826,1.4847820681,4.2860568355,7.74703517277,143.27636803,-21.5142668188,-26.3438851342,52.6827607244,24.0,-8.5,-5.0,22.5
